ebl,ibl,gtop,itop,count
10,4,"(4,(3,(1,2)));","(4,(2,(1,3)));",6845
10,4,"(4,(3,(1,2)));","(4,(3,(1,2)));",9205
10,4.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",3548
10,4.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",3373
10,4.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",9371
10,5.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",2761
10,5.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",2718
10,5.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",4140
10,6,"(4,(3,(1,2)));","(4,(1,(2,3)));",2467
10,6,"(4,(3,(1,2)));","(4,(2,(1,3)));",2551
10,6,"(4,(3,(1,2)));","(4,(3,(1,2)));",5490
10,7,"(4,(3,(1,2)));","(4,(1,(2,3)));",3991
10,7,"(4,(3,(1,2)));","(4,(2,(1,3)));",3900
10,7,"(4,(3,(1,2)));","(4,(3,(1,2)));",4348
10,7.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",3334
10,7.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",3296
10,7.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",14301
10,8,"(4,(3,(1,2)));","(4,(1,(2,3)));",4091
10,8,"(4,(3,(1,2)));","(4,(2,(1,3)));",3904
10,8,"(4,(3,(1,2)));","(4,(3,(1,2)));",9280
10,9,"(4,(3,(1,2)));","(4,(1,(2,3)));",826
10,9,"(4,(3,(1,2)));","(4,(2,(1,3)));",818
10,9,"(4,(3,(1,2)));","(4,(3,(1,2)));",971
10,11.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",15778
10,11.5,"(4,(3,(1,2)));","(4,(2,(1,3)));",15249
10,11.5,"(4,(3,(1,2)));","(4,(3,(1,2)));",38973
10,13,"(4,(3,(1,2)));","(4,(1,(2,3)));",5406
10,13,"(4,(3,(1,2)));","(4,(2,(1,3)));",5265
10,13,"(4,(3,(1,2)));","(4,(3,(1,2)));",9329
10,13.5,"(4,(3,(1,2)));","(4,(1,(2,3)));",6875
