,"1,2","1,3","1,4","2,3","2,4","3,4"
2698,180.396,186.676,226.03799999999998,186.676,226.03799999999998,226.03799999999998
2699,180.428,186.01999999999998,227.15599999999995,186.01999999999998,227.15599999999995,227.156
2700,181.324,187.874,226.14000000000004,187.874,226.14000000000004,226.14
2701,180.712,187.61599999999999,226.226,187.61599999999999,226.226,226.226
2702,180.408,186.278,226.164,186.278,226.164,226.164
2703,180.084,186.272,226.09199999999998,186.272,226.09199999999998,226.09199999999998
2704,182.064,187.275,226.09299999999996,187.275,226.09299999999996,226.094
2705,181.896,186.89399999999998,226.52399999999997,186.89399999999998,226.52399999999997,226.524
2706,180.246,186.941,228.36700000000002,186.941,228.36700000000002,228.368
2707,180.028,188.022,226.412,188.022,226.412,226.412
2708,181.37,186.647,226.03699999999998,186.647,226.03699999999998,226.036
2709,181.4,187.612,227.08100000000002,187.612,227.08100000000002,227.08100000000002
2710,180.656,187.388,229.69600000000003,187.388,229.69600000000003,229.696
2711,183.256,188.49800000000002,227.37,188.49800000000002,227.37,227.37
2712,180.574,187.31900000000002,226.557,187.31900000000002,226.557,226.556
2713,183.554,189.776,226.612,189.776,226.612,226.612
2714,180.69,186.20999999999998,226.652,186.20999999999998,226.652,226.652
2715,180.35,186.35699999999997,227.54099999999997,186.35699999999997,227.54099999999997,227.542
2716,182.158,186.366,226.65900000000002,186.366,226.65900000000002,226.659
2717,181.916,186.89,226.85500000000002,186.89,226.85500000000002,226.85499999999996
2718,181.45,186.858,227.8,186.858,227.8,227.8
2719,180.27,186.418,226.493,186.418,226.493,226.493
2720,181.312,190.334,226.91400000000002,190.334,226.91400000000002,226.91400000000002
2721,180.998,186.65900000000002,226.894,186.65900000000002,226.894,226.895
2722,180.28,186.536,227.63799999999998,186.536,227.63799999999998,227.638
2723,180.974,187.111,226.43200000000002,187.111,226.43200000000002,226.43099999999998
2724,180.034,187.918,227.887,187.918,227.887,227.887
2725,181.228,186.081,227.113,186.081,227.113,227.11200000000002
2726,180.636,186.714,226.51,186.714,226.51,226.51
2727,181.052,187.244,226.452,187.244,226.452,226.452
2728,180.034,187.06399999999996,226.20199999999994,187.06399999999996,226.20199999999994,226.202
2729,180.696,186.937,227.0,186.937,227.0,227.00100000000003
2730,182.854,186.53400000000002,227.668,186.53400000000002,227.668,227.668
2731,180.716,186.80100000000002,226.006,186.80100000000002,226.006,226.007
2732,180.168,186.18699999999998,226.96099999999998,186.18699999999998,226.96099999999998,226.962
2733,180.29,186.468,226.19099999999997,186.468,226.19099999999997,226.19099999999997
2734,180.138,186.179,226.82500000000002,186.179,226.82500000000002,226.824
2735,180.48,186.124,226.17,186.124,226.17,226.17
2736,180.032,187.47600000000003,226.937,187.47600000000003,226.937,226.937
2737,180.604,186.09600000000003,226.73100000000002,186.09600000000003,226.73100000000002,226.731
2738,180.202,186.236,226.608,186.236,226.608,226.608
2739,183.086,186.064,226.336,186.064,226.336,226.336
