count,e,i,e_gt,e_it
15900,20,0.500,20.5139055974843,0.673508204405441
22620,20,1.000,20.4895709549072,0.807694041527791
25193,20,1.500,20.4959627674354,0.910468512135601
7261,20,2.000,20.5063294312078,0.171392829580071
36632,20,3.000,20.4984393426512,0.659398338700836
5000,20,3.500,20.4994636,0.9033348725152
11806,20,4.000,20.4968268676944,0.456478705199017
55236,20,4.500,20.4995538598015,0.530819058841274
53701,20,5.000,20.5053007951435,1.11026895156079
26902,20,5.500,20.5057229945729,0.721525903895146
19875,20,6.000,20.5007940125786,0.704812945268489
22679,20,6.500,20.4909134441553,1.23109541497134
15641,20,7.000,20.4899029473819,0.378959213414021
641,20,7.500,20.5277129485179,0.60409298400936
15318,20,8.000,20.5191501501502,0.302373424525878
5000,20,9.000,20.4952748,0.10513854044
55188,20,9.500,20.5057960426181,0.794087218328981
3,20,0.010,20.93,0.344911733333333
3026,20,0.070,20.5150178453404,0.405199214150836
5000,20,0.090,20.5058006,0.20471870735844
14875,20,0.130,20.5017834621849,0.302277675456806
29022,30,0.110,30.5077530149541,0.825501768315837
81409,30,0.150,30.4963882371728,1.23242891360046
18107,30,0.010,30.4903522946926,0.547042754804622
20000,30,0.020,30.5004996,0.52816826165081
4834,30,0.030,30.4900713694662,0.44802448697621
24774,30,0.050,30.4937448534755,0.885229061250642
4,30,0.060,30.154,0.50510045
16773,30,0.090,30.5049775234007,1.05140024257669
6533,30,0.120,30.5066154905862,0.660597450714221
5063,30,0.130,30.5078410033577,0.206944543289354
5000,30,0.160,30.5078516,0.901865755002999
5000,30,0.190,30.4917062,0.7979119493869
19998,30,0.200,30.5033458345834,0.627268470115511
15313,30,0.250,30.5025376477503,0.594995714013668
24561,30,0.500,30.4934753878099,0.636275742542536
10385,30,1.000,30.4758712566201,0.45248487479741
25356,30,2.000,30.5177076825998,0.762938434449878
10000,30,2.500,30.5142762,0.4065345310275
601,30,3.000,30.520081530782,0.205524198801331
12718,30,3.500,30.5003119201133,0.146464510343183
5000,30,4.500,30.4971302,0.803316907078398
6669,30,5.000,30.5092304693358,1.20235283134698
21339,30,5.500,30.5012313604198,1.67364684530012
5000,30,6.000,30.5012354,0.20435968566946
15758,30,6.500,30.5067973093032,1.38852999646358
20000,30,7.000,30.5018008,0.82636667952455
15000,30,7.500,30.4953070666667,1.85965611200953
2945,30,8.000,30.512558573854,0.304499944952122
25000,30,8.500,30.5094655600001,1.27865802537811
9141,30,9.000,30.500369762608,0.330895956004814
25000,30,9.500,30.49966576,1.35627718665337
819,30,10.000,30.4768827838828,0.203859728832723
10038,30,11.000,30.4968354253835,2.01772392262084
15000,30,12.000,30.5066134666666,1.38101335409367
5,30,0.040,31.229,0.91447986
9620,30,0.080,30.49917006237,0.734992646512536
17757,30,0.100,30.5002854085713,0.554921901224797
15000,30,0.140,30.5054688,0.536733126427034
15461,40,0.010,40.4967956147727,0.155293318203078
5000,40,0.130,40.4997308,0.204457432754
25000,40,0.030,40.49811572,1.83934425302936
4875,40,0.090,40.4906438974359,0.604876369815385
24561,40,0.160,40.5006396319367,1.13679062462376
43671,40,0.500,40.5060895559983,1.0578141288416
50669,40,1.000,40.5023426355366,0.663282990461275
22461,40,3.000,40.4986257958237,0.670525620438925
27895,40,3.500,40.497753934397,1.03003450134921
11287,40,4.000,40.4935879330202,0.742219871294764
20000,40,6.000,40.5081649,2.17399124166973
75000,40,7.000,40.5080569466665,1.13130729640348
10669,40,8.500,40.5041642140782,2.0301873157751
59320,40,10.000,40.5069074173973,1.29634272963102
20000,40,12.000,40.5019991000001,1.2070489960209
20000,40,13.000,40.5022503000001,2.13362327602345
22657,40,0.080,40.489353974489,0.643914810571284
15833,40,0.140,40.5024500094739,0.302643480343585
21700,40,0.180,40.501379861751,0.831808617434557
14042,40,0.200,40.4999717988891,0.532763254567013
